index,user_file,user_input_url,user_prompt,status,error
1,d59b4890-cd3b-4863-b7d4-243fbea10610.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/bbc8e9f7-e6fd-4ea5-a6b5-c4c1af973152.jpg,A young woman with blonde shoulder-length wavy hair and curvy body build.,success,
2,image.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/71541a6b-fcae-430e-8b74-6eacbeb98104.jpg,An adult woman with blonde shoulder-length wavy hair and curvy body build.,success,
3,pexels-2997777-4838042.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/9170ccbb-8f1b-48c9-8ae3-c3a9c2cc5f0a.jpg,A young woman with blonde long smooth hair and slim body build.,success,
4,pexels-38711587-7208431.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/092fa9b5-82fc-4216-bf2a-cf84c600483e.jpg,A young woman with black long smooth hair and slim body build.,success,
5,pexels-48518676-7572653.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/f0bfc8ab-77c0-430c-973e-a8f382383eca.jpg,An adult woman with black long curly hair and slim body build.,success,
6,pexels-_ofarias-g-530112232-16986947.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/87b34d9b-9de7-4ce5-abb9-7b5c2b66f956.jpg,A young woman with brown long smooth hair and curvy body build.,success,
7,pexels-adhen-wijaya-kusuma-229756871-12493913.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/204507bc-4b3f-43f7-ae8d-91655edfcefa.jpg,A young woman with dark long wavy hair and slim body build.,success,
8,pexels-alan-garzon-180446366-11201615.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/7419b89a-6274-40a8-b045-78307ae81f6a.jpg,A young woman with brown medium wavy hair and slim body build.,success,
9,pexels-alan-garzon-180446366-11201618.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/d339d410-ff58-464d-9c78-7bbac57c49f6.jpg,A young girl with brown medium wavy hair and slim body build.,success,
10,pexels-alan-garzon-180446366-11201761.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/64724871-c9cd-4b03-a22f-5e52816f9957.jpg,A young girl with brown medium curly hair and slim body build.,success,
11,pexels-aminnaderloei-31897926.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/59462e76-5389-4467-83b6-87e4e17a4db2.jpg,A young woman with black long smooth hair and slim body build.,success,
12,pexels-amit-chowdhury-2402860-11796004.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/ab971f21-a4e6-4202-b91a-43a284750c6e.jpg,A young woman with dark long wavy hair and slim body build.,success,
13,pexels-andrea-musto-135941147-23995927.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/ebe135f1-5d36-4729-8a37-44ea5d69ef6c.jpg,A young woman with black long smooth hair and slim body build.,success,
14,pexels-angela-chacon-140940805-15536313.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/6f32170a-f790-4dbe-b3dc-4285918ec353.jpg,An adult woman with brown medium smooth hair and average body build.,success,
15,pexels-asio-9688592.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/1512dd8a-7af6-4913-b8aa-1f15bf1ca191.jpg,A young woman with black long smooth hair and slim body build.,success,
16,pexels-bartosz-olzewski-298756944-13312741.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/95300061-6d95-4485-94b4-3652d1235333.jpg,A young woman with dark brown shoulder-length smooth hair and slim body build.,success,
17,pexels-bgcortez-17834302.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/7e172718-b56f-401d-8974-16d656e87d04.jpg,A young woman with blonde long ponytail hair and slim body build.,success,
18,pexels-breno-cardoso-149064345-13684160.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/13f060c3-4a78-4868-a06d-77b5cf553cbe.jpg,A young woman with blonde long wavy hair and slim body build.,success,
19,pexels-breno-cardoso-149064345-15728306.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/944fb02a-960b-4964-b122-60d446478044.jpg,A young woman with black long smooth hair and slim body build.,success,
20,pexels-breno-cardoso-149064345-17110661.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/direct-user-inputs-20260408/74492634-0646-441c-929b-96f9503d47cb.jpg,A young girl with brown long wavy hair and slim body build.,success,
