index,user_file,user_input_url,user_prompt,worn_types,status,error,prepare_latency_s
1,d59b4890-cd3b-4863-b7d4-243fbea10610.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/95259d4d-3ed5-4e76-a347-f5673c1e96cd.png,A young woman with blonde shoulder-length wavy hair and curvy body build.,"[""dress""]",success,,5.0835
2,image.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/ac70fdb4-93fc-466b-a0b4-98fe04173bd4.png,An adult woman with blonde shoulder-length wavy hair and curvy body build.,"[""dress""]",success,,2.8023
3,pexels-2997777-4838042.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/49ad111f-5cff-4d9d-95b3-2c40216be44b.png,A young woman with blonde long smooth hair and slim body build.,"[""dress"", ""outer""]",success,,4.0441
4,pexels-38711587-7208431.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/3a1c9949-8cd1-4b2e-aa2b-773d4f4faa11.png,A young woman with black long smooth hair and slim body build.,"[""top"", ""bottom"", ""outer""]",success,,3.5156
5,pexels-48518676-7572653.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/a376a5d9-f98c-44a6-9b7f-ca92fe8900f9.png,An adult woman with black long curly hair and slim body build.,"[""dress""]",success,,3.6229
6,pexels-_ofarias-g-530112232-16986947.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/0ac1de8e-f7a5-4001-a7a9-6f07902175ef.png,A young woman with brown long smooth hair and curvy body build.,"[""top"", ""bottom"", ""outer""]",success,,3.7852
7,pexels-adhen-wijaya-kusuma-229756871-12493913.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/c9d2f4fd-2dfa-4fea-91c0-2780e31e31db.png,A young woman with dark long wavy hair and slim body build.,"[""top"", ""bottom""]",success,,3.6024
8,pexels-alan-garzon-180446366-11201615.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/1176bc99-15b4-47a7-ab1c-293e932df8f6.png,A young woman with brown medium wavy hair and slim body build.,"[""top"", ""bottom""]",success,,3.8192
9,pexels-alan-garzon-180446366-11201618.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/1ae57210-52a6-46f5-b1b2-1db6832241ea.png,A young girl with brown medium wavy hair and slim body build.,"[""top"", ""bottom""]",success,,3.9634
10,pexels-alan-garzon-180446366-11201761.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/b197f5a8-9f47-43a8-a3ce-60f978087042.png,A young girl with brown medium curly hair and slim body build.,"[""top"", ""bottom"", ""outer""]",success,,3.8131
11,pexels-aminnaderloei-31897926.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/68ec9540-3598-40fa-afdc-b4ee9325800b.png,A young woman with black long smooth hair and slim body build.,"[""top"", ""bottom""]",success,,3.5172
12,pexels-amit-chowdhury-2402860-11796004.jpg,https://glamifydevstorage.blob.core.windows.net/wardrobe-outputs/a1f3610d-e383-40cf-91a8-225d2f2cc2ed.png,A young woman with dark long wavy hair and slim body build.,"[""dress"", ""bottom""]",success,,3.7636
